iter	Passed	Remaining
418	2544	3527
419	2548	3520
420	2554	3512
421	2559	3505
422	2565	3499
423	2570	3492
424	2576	3486
425	2582	3479
426	2588	3473
427	2594	3466
428	2599	3459
429	2605	3453
430	2610	3446
431	2615	3438
432	2621	3432
433	2626	3425
434	2630	3417
435	2636	3411
436	2642	3403
437	2647	3396
438	2653	3390
439	2657	3382
440	2663	3375
441	2669	3369
442	2674	3362
443	2679	3355
444	2685	3349
445	2690	3341
446	2695	3334
447	2700	3327
448	2706	3321
449	2711	3313
450	2717	3308
451	2723	3301
452	2728	3294
453	2734	3288
454	2739	3281
455	2744	3273
456	2749	3267
457	2754	3260
458	2760	3253
459	2766	3247
460	2772	3241
461	2777	3234
462	2783	3227
463	2788	3220
464	2793	3214
465	2800	3209
466	2807	3203
467	2814	3199
468	2821	3194
469	2827	3188
470	2833	3182
471	2841	3178
472	2848	3173
473	2855	3169
474	2862	3164
475	2870	3159
476	2876	3154
477	2883	3149
478	2889	3143
479	2897	3138
480	2903	3133
481	2910	3127
482	2917	3122
483	2923	3116
484	2928	3110
485	2934	3103
486	2939	3096
487	2945	3090
488	2950	3083
489	2955	3076
490	2961	3069
491	2966	3063
492	2971	3056
493	2978	3050
494	2983	3043
495	2989	3037
496	2995	3031
497	3001	3025
498	3006	3019
499	3013	3013
500	3018	3006
501	3023	2999
502	3029	2993
503	3035	2987
504	3040	2980
505	3045	2973
506	3051	2967
507	3056	2960
508	3063	2954
509	3070	2949
510	3075	2943
511	3082	2938
512	3087	2931
513	3093	2925
514	3099	2918
515	3104	2911
516	3110	2905
517	3115	2898
518	3120	2892
519	3126	2886
520	3132	2879
521	3136	2872
522	3142	2866
523	3148	2859
524	3153	2853
525	3159	2846
526	3164	2840
527	3169	2833
528	3175	2827
529	3181	2821
530	3186	2814
531	3194	2809
532	3200	2804
533	3207	2798
534	3213	2793
535	3219	2787
536	3226	2781
537	3234	2777
538	3240	2771
539	3247	2766
540	3253	2760
541	3260	2755
542	3267	2749
543	3274	2744
544	3281	2739
545	3287	2733
546	3294	2728
547	3300	2721
548	3305	2715
549	3310	2708
550	3315	2701
551	3321	2695
552	3327	2689
553	3332	2682
554	3338	2676
555	3344	2670
556	3349	2663
557	3354	2657
558	3360	2651
559	3365	2644
560	3370	2637
561	3375	2631
562	3380	2624
563	3386	2617
564	3392	2612
565	3397	2605
566	3403	2599
567	3409	2592
568	3414	2586
569	3419	2579
570	3425	2573
571	3430	2567
572	3436	2561
573	3442	2554
574	3447	2548
575	3454	2542
576	3459	2536
577	3464	2529
578	3471	2524
579	3476	2517
580	3481	2510
581	3487	2504
582	3492	2498
583	3498	2491
584	3503	2485
585	3508	2478
586	3514	2472
587	3519	2466
588	3525	2459
589	3530	2453
590	3536	2447
591	3541	2440
592	3546	2434
593	3552	2427
594	3557	2421
595	3562	2414
596	3567	2408
597	3573	2402
598	3578	2395
599	3583	2389
600	3588	2382
601	3593	2376
602	3599	2369
603	3604	2363
604	3609	2356
605	3615	2350
606	3620	2344
607	3625	2337
608	3631	2331
609	3638	2326
610	3643	2319
611	3649	2313
612	3655	2307
613	3660	2301
614	3667	2295
615	3673	2290
616	3680	2284
617	3687	2279
618	3693	2273
619	3699	2267
620	3705	2261
621	3711	2255
622	3718	2250
623	3724	2244
624	3730	2238
625	3736	2232
626	3741	2226
627	3747	2219
628	3754	2214
629	3760	2208
630	3766	2202
631	3772	2196
632	3781	2192
633	3788	2186
634	3795	2181
635	3801	2175
636	3807	2170
637	3815	2164
638	3820	2158
639	3825	2151
640	3831	2146
641	3837	2139
642	3842	2133
643	3848	2127
644	3853	2120
645	3859	2114
646	3864	2108
647	3869	2102
648	3875	2095
649	3880	2089
650	3885	2083
651	3890	2076
652	3897	2070
653	3901	2064
654	3906	2057
655	3912	2051
656	3917	2045
657	3922	2038
658	3928	2032
659	3934	2026
660	3939	2020
661	3945	2014
662	3950	2007
663	3955	2001
664	3962	1995
665	3966	1989
666	3972	1983
667	3978	1977
668	3983	1970
669	3988	1964
670	3994	1958
671	3999	1952
672	4005	1946
673	4011	1940
674	4016	1933
675	4021	1927
676	4028	1921
677	4033	1915
678	4038	1908
679	4043	1902
680	4048	1896
681	4053	1890
682	4059	1884
683	4064	1877
684	4069	1871
685	4075	1865
686	4081	1859
687	4086	1853
688	4092	1847
689	4097	1840
690	4102	1834
691	4109	1828
692	4115	1823
693	4120	1816
694	4127	1811
695	4132	1804
696	4137	1798
697	4144	1793
698	4150	1787
699	4156	1781
700	4163	1775
701	4169	1769
702	4176	1764
703	4183	1758
704	4188	1752
705	4195	1747
706	4202	1741
707	4209	1735
708	4214	1729
709	4222	1724
710	4229	1719
711	4236	1713
712	4242	1707
713	4249	1702
714	4256	1696
715	4262	1690
716	4267	1684
717	4273	1678
718	4279	1672
719	4285	1666
720	4291	1660
721	4296	1654
722	4302	1648
723	4307	1642
724	4312	1635
725	4318	1629
726	4323	1623
727	4328	1617
728	4333	1611
729	4339	1604
730	4344	1598
731	4349	1592
732	4355	1586
733	4360	1580
734	4365	1573
735	4371	1568
736	4376	1561
737	4381	1555
738	4387	1549
739	4392	1543
740	4397	1537
741	4404	1531
742	4409	1525
743	4414	1519
744	4421	1513
745	4426	1507
746	4431	1500
747	4438	1495
748	4443	1489
749	4448	1482
750	4455	1477
751	4460	1471
752	4466	1465
753	4472	1459
754	4477	1452
755	4483	1446
756	4488	1440
757	4493	1434
758	4499	1428
759	4505	1422
760	4510	1416
761	4516	1410
762	4521	1404
763	4526	1398
764	4532	1392
765	4538	1386
766	4543	1380
767	4549	1374
768	4555	1368
769	4560	1362
770	4566	1356
771	4571	1350
772	4577	1344
773	4583	1338
774	4589	1332
775	4595	1326
776	4601	1320
777	4606	1314
778	4612	1308
779	4618	1302
780	4623	1296
781	4629	1290
782	4634	1284
783	4640	1278
784	4645	1272
785	4650	1266
786	4655	1260
787	4660	1253
788	4666	1247
789	4673	1242
790	4680	1236
791	4685	1230
792	4690	1224
793	4696	1218
794	4701	1212
795	4706	1206
796	4712	1200
797	4718	1194
798	4723	1188
799	4728	1182
800	4733	1176
801	4738	1169
802	4744	1163
803	4750	1158
804	4755	1151
805	4761	1146
806	4767	1140
807	4772	1134
808	4777	1127
809	4782	1121
810	4787	1115
811	4793	1109
812	4799	1103
813	4804	1097
814	4811	1092
815	4817	1086
816	4822	1080
817	4828	1074
818	4834	1068
819	4840	1062
820	4847	1056
821	4852	1050
822	4857	1044
823	4863	1038
824	4869	1032
825	4874	1026
826	4881	1021
827	4887	1015
828	4893	1009
829	4898	1003
830	4904	997
831	4909	991
832	4915	985
833	4920	979
834	4926	973
835	4932	967
836	4937	961
837	4943	955
838	4949	949
839	4953	943
840	4959	937
841	4964	931
842	4970	925
843	4976	919
844	4982	913
845	4987	907
846	4993	901
847	4998	895
848	5003	889
849	5009	884
850	5015	878
851	5020	872
852	5025	866
853	5030	860
854	5036	854
855	5041	848
856	5047	842
857	5052	836
858	5058	830
859	5064	824
860	5069	818
861	5075	812
862	5080	806
863	5085	800
864	5091	794
865	5097	788
866	5102	782
867	5108	776
868	5114	770
869	5119	765
870	5124	759
871	5129	752
872	5134	746
873	5140	741
874	5146	735
875	5151	729
876	5157	723
877	5163	717
878	5169	711
879	5175	705
880	5184	700
881	5193	694
882	5203	689
883	5212	683
884	5221	678
885	5232	673
886	5242	667
887	5248	662
888	5256	656
889	5272	651
890	5278	645
891	5283	639
892	5290	633
893	5296	627
894	5302	622
895	5308	616
896	5314	610
897	5321	604
898	5328	598
899	5335	592
900	5342	586
901	5348	581
902	5355	575
903	5363	569
904	5370	563
905	5378	558
906	5384	552
907	5391	546
908	5397	540
909	5404	534
910	5409	528
911	5415	522
912	5421	516
913	5426	510
914	5431	504
915	5437	498
916	5442	492
917	5447	486
918	5453	480
919	5458	474
920	5463	468
921	5469	462
922	5474	456
923	5480	450
924	5485	444
925	5490	438
926	5495	432
927	5501	426
928	5506	420
929	5511	414
930	5517	408
931	5522	402
932	5526	396
933	5532	390
934	5537	384
935	5543	379
936	5548	373
937	5554	367
938	5559	361
939	5565	355
940	5570	349
941	5576	343
942	5583	337
943	5588	331
944	5595	325
945	5601	319
946	5606	313
947	5612	307
948	5618	301
949	5623	295
950	5629	290
951	5636	284
952	5641	278
953	5647	272
954	5653	266
955	5657	260
956	5664	254
957	5673	248
958	5694	243
959	5705	237
960	5714	231
961	5721	225
962	5728	220
963	5736	214
964	5743	208
965	5749	202
966	5755	196
967	5761	190
968	5766	184
969	5771	178
970	5777	172
971	5782	166
972	5787	160
973	5793	154
974	5799	148
975	5804	142
976	5810	136
977	5814	130
978	5819	124
979	5825	118
980	5831	112
981	5837	106
982	5843	101
983	5848	95
984	5853	89
985	5860	83
986	5865	77
987	5870	71
988	5876	65
989	5881	59
990	5886	53
991	5892	47
992	5898	41
993	5903	35
994	5910	29
995	5915	23
996	5920	17
997	5925	11
998	5931	5
999	5935	0
